artf_name,BR_4020_SRC,BR_3890_SRC,BR_3844_SRC,BR_4065_SRC,BR_3880_SRC,BR_3987_SRC,BR_4067_SRC,BR_3973_SRC,BR_3898_SRC,BR_3908_SRC,BR_4058_SRC,BR_4018_SRC,BR_4005_SRC,BR_3974_SRC
UC_003_TRG,0.9880728523526725,0.9890821503370574,0.5022932637461928,0.9994890854951294,0.999934351387637,0.016751923996289945,0.9999208168824467,0.9996611892312145,0.4699889558493983,0.4683345730346706,0.9997942746549964,0.9999875080861858,0.9999748194936842,0.9999811718970371
UC_007_TRG,0.9880999698504037,0.9891193741445757,0.5024489658389787,0.9995050068490376,0.9999399782950833,0.016941028662840873,0.999927009030101,0.999674131740064,0.47013984369136813,0.46848567196546426,0.9998043323432421,0.9999898916059494,0.9999782564388797,0.9999841268145471
UC_010_TRG,0.1548944433399178,0.14571714434552344,0.864894339356052,0.011653890589229483,0.00478399298522529,0.9988813819218672,0.005160225136740634,0.00966375963976581,0.8831005125431723,0.883977072113104,0.007739822512325513,0.0026192626860820694,0.0033222249397040528,0.0030006622266240198
UC_002_TRG,0.9881338693972578,0.9891660431485748,0.5026454736361713,0.9995247627873591,0.9999467273128858,0.017179909339648212,0.9999344722188387,0.9996901239247483,0.4703302794217509,0.4686763749618039,0.9998166795855896,0.9999925426703029,0.999982238482898,0.9999874998270757
UC_006_TRG,0.9881050555823052,0.9891263649425797,0.5024783127129181,0.9995079801433546,0.999941010850294,0.01697668751488846,0.999928148145729,0.9996765434525676,0.47016828410792183,0.46851415223116133,0.9998062002007185,0.9999903127107033,0.9999788761375419,0.9999846556403533
UC_004_TRG,0.9880814802400641,0.9890939833273924,0.5023426617314876,0.999494162150336,0.9999361632255847,0.016811902794794383,0.9999228079829712,0.9996653211661036,0.4700368262564987,0.46838251034637124,0.9997974916878816,0.9999882913022823,0.9999759367977548,0.999982136328743
UC_005_TRG,0.9881263826189436,0.989155723428027,0.5026018930600538,0.9995204144967723,0.9999452647241528,0.017126910962161342,0.9999328511852663,0.9996866106581341,0.47028804482369924,0.4686340810100532,0.999813974982376,0.9999919892462329,0.9999813897702059,0.9999867862329723
UC_008_TRG,0.988148291414665,0.9891859384423176,0.5027297167207125,0.9995331094845895,0.9999494975535518,0.01728238702419021,0.999937548644564,0.9996968569825153,0.47041192484529004,0.4687581352283408,0.9998218499464282,0.9999935560062571,0.99998382244566,0.9999888226815852
UC_001_TRG,0.9880920515333578,0.9891084937642678,0.5024033653456222,0.9995003670478897,0.9999383553884297,0.016885628966605948,0.9999252204741956,0.9996703649214914,0.47009565367593614,0.4684414200611329,0.9998014109515633,0.9999892192054756,0.999977275321995,0.999983286960508
UC_009_TRG,0.1549020146181388,0.14572525338388384,0.8648986225031362,0.011662136698619662,0.004791826776693077,0.9988824609381319,0.005168081658049884,0.00967188678556567,0.8831041912130356,0.883980741073532,0.007747834167883491,0.0026269659106032822,0.003329970607086529,0.0030083884763479514
